filing_year,area_name,area_number,eviction_filings_total,eviction_filings_rate,eviction_filings_sealed,eviction_filings_unclear,eviction_filings_completed,case_type_single_action,case_type_joint_action,back_rent_median,back_rent_0,back_rent_1_to_999,back_rent_1000_to_2499,back_rent_2500_to_4999,back_rent_5000_or_more,landlord_prose,landlord_represented,tenant_prose,tenant_represented,tenant_rep_pa,tenant_rep_laa,eviction_order_yes,eviction_order_no,eviction_order_yes_tenant_prose,eviction_order_no_tenant_prose,eviction_order_yes_tenant_represented,eviction_order_no_tenant_represented,eviction_order_yes_tenant_rep_pa,eviction_order_no_tenant_rep_pa,eviction_order_yes_tenant_rep_laa,eviction_order_no_tenant_rep_laa,ftu_eviction_order,ftu_other_outcome,ftu_no_outcome,ftu_eviction_order_tenant_prose,ftu_other_outcome_tenant_prose,ftu_no_outcome_tenant_prose,ftu_eviction_order_tenant_represented,ftu_other_outcome_tenant_represented,ftu_no_outcome_tenant_represented,default_eviction_order_yes,default_eviction_order_no,default_eviction_order_yes_tenant_prose,default_eviction_order_no_tenant_prose,default_eviction_order_yes_tenant_represented,default_eviction_order_no_tenant_represented
2018,North Park,13,33,0.94,8,0,25,6,19,2600.0,6,3,6,7,3,1,24,21,4,4,0,14,11,11,10,3,1,3,1,0,0,7,7,11,7,7,7,0,0,4,7,18,7,14,0,4
2019,North Park,13,24,0.67,4,1,19,4,15,3885.0,4,0,3,10,2,4,15,18,1,1,0,13,6,12,6,1,0,1,0,0,0,4,3,12,4,3,11,0,0,1,6,13,6,12,0,1
2010,Albany Park,14,184,1.71,13,3,168,32,136,2223.35,28,19,59,51,11,24,144,140,28,18,10,103,65,89,51,14,14,11,7,3,7,57,13,98,56,13,71,1,0,27,24,144,24,116,0,28
2011,Albany Park,14,232,2.17,10,6,216,54,162,2271.34,52,27,73,42,22,47,169,187,29,23,6,130,86,119,68,11,18,11,12,0,6,67,7,142,66,7,114,1,0,28,30,186,30,157,0,29
2012,Albany Park,14,213,2.0,15,1,197,33,164,1950.0,32,25,76,52,12,44,153,170,27,21,6,129,68,112,58,17,10,16,5,1,5,70,18,109,67,17,86,3,1,23,36,161,32,138,4,23
2013,Albany Park,14,255,2.4,14,2,239,40,199,2048.0,45,34,85,50,25,30,209,202,37,33,4,161,78,137,65,24,13,23,10,1,3,103,13,123,101,12,89,2,1,34,17,222,14,188,3,34
2014,Albany Park,14,252,2.39,42,5,205,48,157,1986.79,50,32,65,45,13,30,175,181,24,19,5,134,71,117,64,17,7,14,5,3,2,77,14,114,77,14,90,0,0,24,15,190,14,167,1,23
2015,Albany Park,14,230,2.19,53,2,175,36,139,2000.0,36,23,65,33,18,22,153,147,28,23,5,112,63,102,45,10,18,9,14,1,4,60,18,97,59,18,70,1,0,27,22,153,21,126,1,27
2016,Albany Park,14,173,1.65,33,3,137,31,106,2458.56,30,13,42,28,24,15,122,121,16,15,1,76,61,70,51,6,10,6,9,0,1,44,23,70,42,23,56,2,0,14,31,106,30,91,1,15
2017,Albany Park,14,198,1.9,24,2,172,28,144,2429.0,29,17,56,57,13,24,148,150,22,19,3,98,74,89,61,9,13,9,10,0,3,58,27,87,55,27,68,3,0,19,20,152,20,130,0,22
2018,Albany Park,14,157,1.52,21,0,136,28,108,2371.01,28,12,46,29,21,18,118,108,28,23,5,94,42,79,29,15,13,15,8,0,5,41,11,84,40,11,57,1,0,27,33,103,33,75,0,28
2019,Albany Park,14,134,1.3,15,3,116,16,100,2469.0,16,9,41,31,19,9,107,105,11,11,0,70,46,63,42,7,4,7,4,0,0,27,14,75,25,14,66,2,0,9,30,86,27,78,3,8
2010,Portage Park,15,281,2.67,34,4,243,64,179,2017.5,59,21,97,55,11,66,177,219,24,18,6,152,91,141,78,11,13,9,9,2,4,91,18,134,89,17,113,2,1,21,26,217,25,194,1,23
2011,Portage Park,15,286,2.74,22,3,261,74,187,2040.0,72,33,92,39,25,59,202,236,25,18,7,161,100,145,91,16,9,14,4,2,5,75,22,164,74,21,141,1,1,23,34,227,34,202,0,25
2012,Portage Park,15,321,3.1,30,5,286,90,196,2070.0,91,35,87,46,27,54,232,252,34,27,7,176,110,157,95,19,15,18,9,1,6,74,13,199,73,12,167,1,1,32,45,241,42,210,3,31
2013,Portage Park,15,312,3.04,39,2,271,57,214,2025.68,54,27,102,44,44,68,203,241,30,26,4,187,84,166,75,21,9,19,7,2,2,99,11,161,97,11,133,2,0,28,19,252,19,222,0,30
2014,Portage Park,15,249,2.44,49,1,199,45,154,1860.0,44,28,74,33,20,49,150,166,33,27,6,128,71,112,54,16,17,15,12,1,5,68,16,115,66,15,85,2,1,30,10,189,10,156,0,33
2015,Portage Park,15,268,2.65,50,3,215,44,171,1990.0,43,20,89,40,23,52,163,185,30,29,1,135,80,121,64,14,16,14,15,0,1,81,17,117,79,17,89,2,0,28,25,190,24,161,1,29
2016,Portage Park,15,245,2.44,44,0,201,28,173,2200.0,27,16,82,50,26,24,177,173,28,26,2,125,76,112,61,13,15,12,14,1,1,63,35,103,61,33,79,2,2,24,32,169,31,142,1,27
2017,Portage Park,15,224,2.25,45,2,177,32,145,1920.0,34,18,68,38,19,19,158,154,23,18,5,115,62,102,52,13,10,11,7,2,3,54,28,95,53,27,74,1,1,21,24,153,23,131,1,22
2018,Portage Park,15,182,1.84,31,4,147,35,112,2525.0,34,11,44,39,19,21,126,129,18,18,0,88,59,79,50,9,9,9,9,0,0,46,17,84,45,17,67,1,0,17,27,120,24,105,3,15
2019,Portage Park,15,162,1.66,18,5,139,21,118,2470.24,24,7,53,29,26,21,118,119,20,19,1,81,58,73,46,8,12,8,11,0,1,33,19,87,33,19,67,0,0,20,36,103,35,84,1,19
2010,Irving Park,16,252,2.38,10,5,237,40,197,1900.0,38,30,100,55,14,53,184,207,30,23,7,158,79,140,67,18,12,17,6,1,6,100,20,117,97,20,90,3,0,27,33,204,31,176,2,28
2011,Irving Park,16,318,2.99,20,2,296,45,251,2030.0,43,40,121,69,23,69,227,269,27,22,5,180,116,168,101,12,15,11,11,1,4,116,32,148,116,32,121,0,0,27,45,251,45,224,0,27
2012,Irving Park,16,308,2.87,30,3,275,52,223,2100.0,52,33,102,61,27,54,221,245,30,28,2,178,97,165,80,13,17,13,15,0,2,109,20,146,107,20,118,2,0,28,57,218,55,190,2,28
2013,Irving Park,16,300,2.78,35,2,263,62,201,1925.0,63,31,100,48,21,48,215,227,36,27,9,168,95,147,80,21,15,18,9,3,6,94,21,148,91,20,116,3,1,32,21,242,19,208,2,34
2014,Irving Park,16,267,2.45,40,1,226,47,179,2000.0,48,25,93,42,18,35,191,188,38,27,11,134,92,114,74,20,18,17,10,3,8,80,15,131,77,13,98,3,2,33,14,212,14,174,0,38
2015,Irving Park,16,259,2.36,45,1,213,47,166,1921.25,47,20,87,43,16,35,178,180,33,28,5,115,98,105,75,10,23,9,19,1,4,64,26,123,63,26,91,1,0,32,18,195,18,162,0,33
2016,Irving Park,16,171,1.55,35,2,134,24,110,2300.0,24,14,48,29,19,21,113,115,19,17,2,84,50,73,42,11,8,9,8,2,0,40,17,77,39,17,59,1,0,18,19,115,18,97,1,18
2017,Irving Park,16,191,1.72,29,1,161,27,134,2262.5,27,15,57,49,13,20,141,146,15,13,2,101,60,91,55,10,5,9,4,1,1,62,22,77,61,22,63,1,0,14,19,142,18,128,1,14
2018,Irving Park,16,183,1.63,23,1,159,21,138,2400.0,22,18,58,41,20,17,142,142,17,16,1,102,57,91,51,11,6,11,5,0,1,42,22,95,40,21,81,2,1,14,27,132,27,115,0,17
2019,Irving Park,16,145,1.29,16,1,128,28,100,2685.0,29,4,36,35,24,11,117,117,11,9,2,74,54,68,49,6,5,5,4,1,1,37,13,78,37,13,67,0,0,11,24,104,24,93,0,11
2010,Dunning,17,99,2.89,10,3,86,21,65,2629.31,22,7,21,23,13,28,58,74,12,11,1,49,37,40,34,9,3,8,3,1,0,25,4,57,25,4,45,0,0,12,11,75,11,63,0,12
2011,Dunning,17,120,3.42,12,1,107,31,76,2500.0,31,11,26,28,11,23,84,95,12,11,1,60,47,56,39,4,8,3,8,1,0,36,8,63,36,8,51,0,0,12,15,92,15,80,0,12
2012,Dunning,17,147,4.09,21,2,124,48,76,2525.0,48,8,27,25,16,33,91,103,21,19,2,77,47,62,41,15,6,15,4,0,2,44,8,72,43,8,52,1,0,20,18,106,18,85,0,21
2013,Dunning,17,128,3.48,16,3,109,36,73,2458.95,35,6,31,22,15,27,82,88,21,20,1,71,38,58,30,13,8,13,7,0,1,42,9,58,38,9,41,4,0,17,7,102,6,82,1,20
2014,Dunning,17,109,2.9,17,1,91,20,71,2550.0,20,9,26,26,10,19,72,77,14,10,4,54,37,49,28,5,9,4,6,1,3,21,8,62,21,8,48,0,0,14,8,83,7,70,1,13
2015,Dunning,17,113,2.94,29,0,84,13,71,2150.0,13,13,29,18,11,23,61,67,17,16,1,53,31,42,25,11,6,11,5,0,1,32,5,47,31,5,31,1,0,16,13,71,11,56,2,15
2016,Dunning,17,97,2.47,33,1,63,14,49,3100.0,13,10,11,16,13,16,47,56,7,7,0,39,24,38,18,1,6,1,6,0,0,27,10,26,27,10,19,0,0,7,9,54,9,47,0,7
2017,Dunning,17,106,2.65,17,1,88,21,67,2607.0,21,8,23,20,16,9,79,77,11,11,0,55,33,51,26,4,7,4,7,0,0,26,10,52,26,10,41,0,0,11,14,74,14,63,0,11
2018,Dunning,17,69,1.69,11,0,58,11,47,3349.12,12,5,9,20,12,5,53,51,7,6,1,34,24,30,21,4,3,3,3,1,0,18,10,30,16,9,26,2,1,4,15,43,15,36,0,7
2019,Dunning,17,73,1.75,13,3,57,7,50,3169.36,8,2,17,19,11,7,50,46,11,11,0,28,29,22,24,6,5,6,5,0,0,13,13,31,12,13,21,1,0,10,13,44,11,35,2,9
2010,Montclare,18,47,2.63,5,3,39,10,29,2100.0,10,5,12,9,3,11,28,31,8,4,4,26,13,23,8,3,5,2,2,1,3,18,3,18,18,3,10,0,0,8,6,33,6,25,0,8
2011,Montclare,18,63,3.55,11,1,51,9,42,2000.0,8,7,19,10,7,13,38,47,4,3,1,29,22,27,20,2,2,2,1,0,1,18,7,26,18,7,22,0,0,4,4,47,4,43,0,4
2012,Montclare,18,55,3.12,10,0,45,9,36,1915.0,9,5,17,11,3,10,35,39,6,3,3,30,15,26,13,4,2,2,1,2,1,21,5,19,21,5,13,0,0,6,6,39,5,34,1,5
2013,Montclare,18,49,2.8,8,0,41,18,23,1350.0,18,5,13,3,2,11,30,33,8,8,0,23,18,21,12,2,6,2,6,0,0,15,5,21,15,5,13,0,0,8,3,38,3,30,0,8
2014,Montclare,18,51,2.93,11,0,40,12,28,2105.0,12,5,11,10,2,5,35,33,7,4,3,19,21,19,14,0,7,0,4,0,3,11,3,26,11,3,19,0,0,7,1,39,1,32,0,7
2015,Montclare,18,42,2.43,9,1,32,5,27,2045.0,4,7,10,6,5,4,28,28,4,4,0,19,13,18,10,1,3,1,3,0,0,11,2,19,11,2,15,0,0,4,6,26,6,22,0,4
2016,Montclare,18,52,3.03,12,0,40,5,35,2180.0,5,5,14,10,6,4,36,36,4,4,0,26,14,22,14,4,0,4,0,0,0,8,5,27,8,5,23,0,0,4,2,38,2,34,0,4
2017,Montclare,18,56,3.28,7,2,47,8,39,2280.0,8,5,18,13,3,10,37,37,10,8,2,28,19,24,13,4,6,3,5,1,1,11,7,29,11,7,19,0,0,10,5,42,5,32,0,10
2018,Montclare,18,67,3.95,14,1,52,8,44,2865.0,9,3,11,20,9,5,47,36,16,13,3,27,25,20,16,7,9,7,6,0,3,12,7,33,12,7,17,0,0,16,7,45,7,29,0,16
2019,Montclare,18,41,2.43,4,1,36,6,30,2392.5,6,2,14,11,3,5,31,33,3,3,0,22,14,20,13,2,1,2,1,0,0,12,8,16,12,8,13,0,0,3,7,29,7,26,0,3
2010,Belmont Cragin,19,379,3.24,51,4,324,95,229,2000.0,95,42,106,60,21,133,191,282,42,32,10,199,125,174,108,25,17,23,9,2,8,121,34,169,117,33,132,4,1,37,32,292,29,253,3,39
2011,Belmont Cragin,19,397,3.41,48,2,347,110,237,2175.0,107,33,105,68,34,112,235,301,46,37,9,214,133,192,109,22,24,21,16,1,8,133,23,191,131,21,149,2,2,42,33,314,32,269,1,45
2012,Belmont Cragin,19,487,4.19,70,7,410,107,303,1969.25,107,35,166,67,35,122,288,367,43,40,3,262,148,238,129,24,19,23,17,1,2,160,22,228,158,22,187,2,0,41,89,321,87,280,2,41
2013,Belmont Cragin,19,406,3.51,79,3,324,110,214,2230.0,112,30,88,67,27,97,227,281,43,34,9,206,118,177,104,29,14,26,8,3,6,109,22,193,104,22,155,5,0,38,25,299,23,258,2,41
2014,Belmont Cragin,19,402,3.48,85,0,317,73,244,2100.0,74,31,121,69,22,100,217,287,30,25,5,213,104,203,84,10,20,10,15,0,5,131,22,164,130,22,135,1,0,29,15,302,15,272,0,30
2015,Belmont Cragin,19,410,3.56,98,2,310,76,234,1687.5,74,39,118,58,21,62,248,273,37,31,6,194,116,177,96,17,20,14,17,3,3,104,25,181,103,25,145,1,0,36,27,283,27,246,0,37
2016,Belmont Cragin,19,342,2.98,84,3,255,50,205,2095.0,51,28,99,54,23,63,192,220,35,34,1,164,91,146,74,18,17,18,16,0,1,84,32,139,83,31,106,1,1,33,32,223,30,190,2,33
2017,Belmont Cragin,19,251,2.19,43,3,205,47,158,2373.0,43,23,61,47,31,38,167,184,21,19,2,131,74,118,66,13,8,12,7,1,1,67,20,118,67,20,97,0,0,21,24,181,24,160,0,21
2018,Belmont Cragin,19,257,2.25,63,1,193,26,167,2400.0,27,8,76,58,24,48,145,167,26,24,2,119,74,106,61,13,13,12,12,1,1,49,23,121,47,23,97,2,0,24,24,169,21,146,3,23
2019,Belmont Cragin,19,260,2.29,25,8,227,37,190,2700.0,36,23,64,74,30,53,174,193,34,25,9,141,86,123,70,18,16,16,9,2,7,56,31,140,54,30,109,2,1,31,47,180,47,146,0,34
2010,Hermosa,20,123,3.14,9,1,113,34,79,1800.0,32,15,38,15,13,40,73,100,13,11,2,62,51,53,47,9,4,8,3,1,1,37,9,67,36,9,55,1,0,12,16,97,15,85,1,12
2011,Hermosa,20,150,3.83,10,1,139,39,100,1800.0,39,25,45,24,6,43,96,120,19,16,3,82,57,72,48,10,9,9,7,1,2,48,9,82,48,8,64,0,1,18,19,120,18,102,1,18
2012,Hermosa,20,166,4.23,18,1,147,51,96,2000.0,51,11,47,24,14,50,97,137,10,6,4,99,48,91,46,8,2,6,0,2,2,61,10,76,61,10,66,0,0,10,23,124,22,115,1,9
2013,Hermosa,20,179,4.55,16,1,162,37,125,1900.0,37,13,72,32,8,44,118,139,23,15,8,100,62,89,50,11,12,10,5,1,7,65,11,86,65,10,64,0,1,22,11,151,10,129,1,22
2014,Hermosa,20,150,3.8,26,2,122,30,92,1800.0,29,16,46,28,3,38,84,110,12,9,3,74,48,68,42,6,6,5,4,1,2,42,11,69,40,11,59,2,0,10,9,113,9,101,0,12
2015,Hermosa,20,155,3.92,43,3,109,18,91,2092.37,17,8,50,23,11,23,86,100,9,7,2,69,40,64,36,5,4,4,3,1,1,37,17,55,37,17,46,0,0,9,19,90,19,81,0,9
2016,Hermosa,20,135,3.41,35,1,99,16,83,2230.0,14,8,43,27,7,28,71,86,13,11,2,65,34,60,26,5,8,5,6,0,2,37,11,51,37,10,39,0,1,12,16,83,16,70,0,13
2017,Hermosa,20,100,2.52,16,0,84,12,72,2190.0,12,11,33,18,10,23,61,75,9,9,0,52,32,49,26,3,6,3,6,0,0,28,15,41,28,15,32,0,0,9,14,70,14,61,0,9
2018,Hermosa,20,72,1.81,8,1,63,9,54,2130.0,8,5,32,12,6,7,56,55,8,8,0,45,18,40,15,5,3,5,3,0,0,21,5,37,21,5,29,0,0,8,7,56,7,48,0,8
2019,Hermosa,20,80,2.01,11,0,69,16,53,2305.0,17,2,28,15,7,16,53,64,5,4,1,45,24,41,23,4,1,4,0,0,1,25,9,35,23,9,32,2,0,3,18,51,18,46,0,5
2010,Avondale,21,223,2.9,9,3,211,45,166,2302.36,45,26,63,58,19,63,148,181,30,27,3,137,74,119,62,18,12,17,10,1,2,88,20,103,85,20,76,3,0,27,37,174,37,144,0,30
2011,Avondale,21,251,3.22,19,4,228,64,164,2028.75,65,27,80,43,13,59,169,193,35,29,6,147,81,126,67,21,14,18,11,3,3,82,16,130,80,16,97,2,0,33,34,194,34,159,0,35
2012,Avondale,21,250,3.16,25,2,223,59,164,2193.63,59,22,65,54,23,58,165,201,22,17,5,128,95,118,83,10,12,8,9,2,3,73,21,129,72,21,108,1,0,21,36,187,36,165,0,22
2013,Avondale,21,217,2.71,25,4,188,53,135,2160.0,51,20,62,41,14,58,130,164,24,20,4,124,64,105,59,19,5,19,1,0,4,69,20,99,65,20,79,4,0,20,16,172,14,150,2,22
2014,Avondale,21,200,2.47,31,0,169,41,128,2100.0,40,18,59,36,16,36,133,143,26,17,9,97,72,85,58,12,14,9,8,3,6,52,15,102,50,14,79,2,1,23,15,154,13,130,2,24
2015,Avondale,21,189,2.3,41,4,144,40,104,2500.0,39,9,43,33,20,35,109,123,21,17,4,72,72,64,59,8,13,6,11,2,2,43,24,77,43,24,56,0,0,21,8,136,8,115,0,21
2016,Avondale,21,144,1.73,25,1,118,23,95,2482.5,24,7,41,32,14,20,98,99,19,18,1,59,59,49,50,10,9,10,8,0,1,30,21,67,29,21,49,1,0,18,15,103,13,86,2,17
2017,Avondale,21,127,1.51,20,3,104,21,83,2445.0,20,12,31,29,12,25,79,86,18,17,1,57,47,49,37,8,10,8,9,0,1,27,18,59,26,17,43,1,1,16,10,94,10,76,0,18
2018,Avondale,21,106,1.24,14,2,90,19,71,2815.0,19,7,25,26,13,18,72,80,10,10,0,58,32,52,28,6,4,6,4,0,0,29,13,48,29,13,38,0,0,10,16,74,16,64,0,10
2019,Avondale,21,101,1.17,28,2,71,21,50,2778.77,21,6,16,17,11,10,61,66,5,2,3,48,23,45,21,3,2,1,1,2,1,15,12,44,15,12,39,0,0,5,15,56,15,51,0,5
2010,Logan Square,22,367,1.88,11,2,354,70,284,2175.0,69,48,124,71,42,85,269,312,42,31,11,231,123,207,105,24,18,21,10,3,8,157,37,160,152,37,123,5,0,37,55,299,53,259,2,40
2011,Logan Square,22,407,2.09,15,3,389,83,306,2380.0,80,29,138,98,44,96,293,341,48,36,12,210,179,194,147,16,32,15,21,1,11,123,43,223,119,43,179,4,0,44,55,334,53,288,2,46
2012,Logan Square,22,360,1.86,26,4,330,59,271,2195.0,57,52,103,80,38,63,267,289,41,35,6,222,108,194,95,28,13,26,9,2,4,135,27,168,132,27,130,3,0,38,55,275,55,234,0,41
2013,Logan Square,22,354,1.83,31,6,317,88,229,1887.5,91,36,109,67,14,56,261,276,41,33,8,192,125,174,102,18,23,17,16,1,7,118,24,175,116,24,136,2,0,39,17,300,14,262,3,38
2014,Logan Square,22,329,1.7,54,2,273,82,191,2130.63,78,35,74,59,27,66,207,236,37,25,12,158,115,143,93,15,22,13,12,2,10,83,23,167,83,23,130,0,0,37,20,253,18,218,2,35
2015,Logan Square,22,290,1.51,61,6,223,50,173,2100.0,50,20,79,46,28,35,188,196,27,22,5,129,94,123,73,6,21,5,17,1,4,71,25,127,71,25,100,0,0,27,21,202,21,175,0,27
2016,Logan Square,22,222,1.16,34,0,188,41,147,2400.0,41,27,53,44,23,28,160,160,28,25,3,118,70,103,57,15,13,14,11,1,2,62,35,91,59,35,66,3,0,25,33,155,32,128,1,27
2017,Logan Square,22,227,1.18,33,3,191,37,154,2325.0,37,24,58,45,27,28,163,160,31,26,5,115,76,101,59,14,17,13,13,1,4,65,27,99,61,27,72,4,0,27,23,168,21,139,2,29
2018,Logan Square,22,174,0.91,36,2,136,37,99,3125.0,41,8,31,37,19,20,116,117,19,17,2,83,53,74,43,9,10,9,8,0,2,36,21,79,35,21,61,1,0,18,20,116,19,98,1,18
2019,Logan Square,22,181,0.95,25,3,153,41,112,2692.83,41,11,42,31,28,18,135,129,24,20,4,83,70,75,54,8,16,8,12,0,4,33,26,94,33,26,70,0,0,24,32,121,32,97,0,24
2010,Humboldt Park,23,653,5.33,44,7,602,158,444,1800.0,155,92,215,108,32,260,342,546,56,39,17,381,221,353,193,28,28,26,13,2,15,248,50,304,244,47,255,4,3,49,60,542,57,489,3,53
2011,Humboldt Park,23,781,6.42,41,5,735,174,561,1950.0,169,89,284,134,59,248,487,650,85,65,20,454,281,412,238,42,43,38,27,4,16,263,69,403,258,69,323,5,0,80,73,662,71,579,2,83
2012,Humboldt Park,23,826,6.83,59,3,764,190,574,2000.0,196,94,283,148,43,290,474,677,87,70,17,496,268,455,222,41,46,35,35,6,11,300,56,408,294,55,328,6,1,80,142,622,138,539,4,83
2013,Humboldt Park,23,706,5.87,63,5,638,170,468,2078.41,170,72,214,114,68,248,390,563,75,50,25,422,216,384,179,38,37,27,23,11,14,245,32,361,243,31,289,2,1,72,38,600,37,526,1,74
2014,Humboldt Park,23,664,5.56,102,5,557,152,405,1800.0,151,78,187,108,33,196,361,503,54,46,8,364,193,344,159,20,34,19,27,1,7,199,42,316,197,42,264,2,0,52,43,514,43,460,0,54
2015,Humboldt Park,23,605,5.09,128,0,477,75,402,1750.0,76,94,171,98,38,154,323,425,52,49,3,313,164,293,132,20,32,20,29,0,3,172,46,259,168,46,211,4,0,48,63,414,61,364,2,50
2016,Humboldt Park,23,509,4.31,118,5,386,67,319,2190.0,67,45,144,91,39,108,278,336,50,43,7,271,115,240,96,31,19,26,17,5,2,151,41,194,149,40,147,2,1,47,57,329,57,279,0,50
2017,Humboldt Park,23,478,4.07,84,2,392,65,327,2042.5,64,42,167,94,25,108,284,345,47,40,7,259,133,232,113,27,20,25,15,2,5,142,50,200,139,49,157,3,1,43,50,342,50,295,0,47
2018,Humboldt Park,23,371,3.18,50,5,316,57,259,2317.63,64,29,122,70,31,65,251,266,50,41,9,203,113,179,87,24,26,22,19,2,7,86,35,195,82,35,149,4,0,46,60,256,58,208,2,48
2019,Humboldt Park,23,366,3.16,48,3,315,86,229,2225.0,88,27,99,69,32,63,252,287,28,21,7,196,119,182,105,14,14,12,9,2,5,80,40,195,78,39,170,2,1,25,76,239,72,215,4,24
2010,West Town,24,517,2.2,31,3,483,112,371,2400.0,110,53,140,120,60,118,365,412,71,49,22,271,212,248,164,23,48,22,27,1,21,156,47,280,150,46,216,6,1,64,68,415,66,346,2,69
2011,West Town,24,611,2.6,34,4,573,152,421,1966.0,149,84,173,113,54,136,437,495,78,56,22,326,247,296,199,30,48,27,29,3,19,196,51,326,192,49,254,4,2,72,84,489,81,414,3,75
2012,West Town,24,568,2.41,56,11,501,140,361,1955.9,141,91,125,91,53,97,404,448,53,42,11,264,237,240,208,24,29,23,19,1,10,151,54,296,146,53,249,5,1,47,92,409,87,361,5,48
2013,West Town,24,396,1.68,31,8,357,87,270,2250.0,91,48,97,83,38,70,287,307,50,33,17,177,180,157,150,20,30,15,18,5,12,89,36,232,85,36,186,4,0,46,15,342,14,293,1,49
2014,West Town,24,364,1.54,42,7,315,73,242,2250.0,74,49,82,62,48,51,264,276,39,31,8,182,133,168,108,14,25,14,17,0,8,99,35,181,98,35,143,1,0,38,21,294,21,255,0,39
2015,West Town,24,359,1.52,62,5,292,56,236,2430.0,57,36,83,66,50,37,255,242,50,38,12,149,143,123,119,26,24,20,18,6,6,81,52,159,78,52,112,3,0,47,17,275,16,226,1,49
2016,West Town,24,245,1.03,35,3,207,38,169,2600.0,38,26,55,56,32,29,178,176,31,29,2,109,98,92,84,17,14,16,13,1,1,58,40,109,57,40,79,1,0,30,25,182,23,153,2,29
2017,West Town,24,254,1.07,38,1,215,40,175,2700.0,40,11,71,60,33,41,174,189,26,22,4,122,93,111,78,11,15,11,11,0,4,70,43,102,69,42,78,1,1,24,33,182,31,158,2,24
2018,West Town,24,201,0.84,20,3,178,23,155,2594.0,25,17,53,53,30,19,159,147,31,28,3,98,80,79,68,19,12,18,10,1,2,40,27,111,37,27,83,3,0,28,37,141,36,111,1,30
2019,West Town,24,196,0.82,19,5,172,46,126,2400.0,45,13,53,32,29,19,153,158,14,13,1,83,89,75,83,8,6,8,5,0,1,38,33,101,38,33,87,0,0,14,32,140,28,130,4,10
2010,Austin,25,1488,6.74,71,19,1398,288,1110,1855.0,286,239,502,282,89,532,866,1266,132,104,28,889,509,828,438,61,71,56,48,5,23,555,128,715,547,126,593,8,2,122,225,1173,215,1051,10,122
2011,Austin,25,1696,7.74,58,22,1616,269,1347,1701.0,260,316,614,313,113,545,1071,1478,138,96,42,991,625,933,545,58,80,50,46,8,34,606,154,856,596,150,732,10,4,124,263,1353,254,1224,9,129
2012,Austin,25,1784,8.21,73,12,1699,233,1466,1653.0,232,326,716,301,124,509,1190,1565,134,112,22,1101,598,1039,526,62,72,58,54,4,18,668,137,894,663,136,766,5,1,128,374,1325,371,1194,3,131
2013,Austin,25,1757,8.15,108,20,1629,239,1390,1700.0,226,283,706,300,114,478,1151,1449,180,142,38,1031,598,956,493,75,105,68,74,7,31,563,102,964,553,101,795,10,1,169,137,1492,133,1316,4,176
2014,Austin,25,1710,7.99,208,8,1494,209,1285,1700.0,212,232,668,257,125,363,1131,1339,155,134,21,919,575,855,484,64,91,57,77,7,14,473,126,895,466,125,748,7,1,147,122,1372,119,1220,3,152
2015,Austin,25,1501,7.07,219,9,1273,149,1124,1653.67,148,250,552,232,91,333,940,1124,149,136,13,797,476,729,395,68,81,62,74,6,7,392,117,764,377,115,632,15,2,132,180,1093,169,955,11,138
2016,Austin,25,1362,6.47,227,15,1120,143,977,1792.0,139,166,512,209,94,253,867,997,123,107,16,696,424,639,358,57,66,52,55,5,11,326,129,665,319,125,553,7,4,112,162,958,159,838,3,120
2017,Austin,25,1288,6.17,198,18,1072,135,937,1836.75,133,158,477,216,88,212,860,942,130,117,13,610,462,549,393,61,69,57,60,4,9,259,151,662,250,150,542,9,1,120,147,925,141,801,6,124
2018,Austin,25,1259,6.08,176,12,1071,136,935,1831.72,211,106,506,186,62,192,879,936,135,118,17,696,375,616,320,80,55,73,45,7,10,229,116,726,222,114,600,7,2,126,212,859,206,730,6,129
2019,Austin,25,1267,6.17,161,36,1070,292,778,1983.79,294,79,422,201,74,227,843,971,99,86,13,641,429,590,381,51,48,45,41,6,7,211,127,732,204,127,640,7,0,92,243,827,233,738,10,89
2010,West Garfield Park,26,304,6.22,23,0,281,52,229,1626.71,53,48,118,46,16,132,149,247,34,19,15,182,99,170,77,12,22,11,8,1,14,110,29,142,108,28,111,2,1,31,38,243,38,209,0,34
2011,West Garfield Park,26,303,6.29,18,5,280,50,230,1900.0,49,42,102,55,32,129,151,250,30,22,8,177,103,165,85,12,18,10,12,2,6,107,22,151,107,21,122,0,1,29,39,241,37,213,2,28
2012,West Garfield Park,26,338,7.11,21,2,315,71,244,1949.71,69,45,111,60,30,109,206,294,21,15,6,214,101,206,88,8,13,6,9,2,4,139,20,156,136,20,138,3,0,18,55,260,54,240,1,20
2013,West Garfield Park,26,370,7.88,12,2,356,70,286,1800.0,70,56,139,69,22,130,226,319,37,30,7,248,108,230,89,18,19,16,14,2,5,158,29,169,153,29,137,5,0,32,27,329,27,292,0,37
2014,West Garfield Park,26,412,8.9,39,4,369,61,308,2000.0,61,46,148,71,43,133,236,330,39,34,5,237,132,219,111,18,21,16,18,2,3,138,24,207,135,23,172,3,1,35,32,337,30,300,2,37
2015,West Garfield Park,26,315,6.9,58,0,257,29,228,1700.0,31,50,107,46,23,84,173,228,29,26,3,168,89,152,76,16,13,15,11,1,2,85,31,141,84,31,113,1,0,28,36,221,36,192,0,29
