community_area,NAME,0-15k,15-25k,25-50k,50-75k,75k+,state,county,population,period
GAGE PARK,"Census Tract 6302, Cook County, Illinois",13057.0,5400.0,7326.0,1821.0,657.0,17,31,37478.0,2015-2019
GARFIELD RIDGE,"Census Tract 5609, Cook County, Illinois",10163.0,3629.0,6672.0,4206.0,4945.0,17,31,37207.0,2015-2019
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",7939.0,2385.0,3314.0,1912.0,2527.0,17,31,22643.0,2015-2019
GREATER GRAND CROSSING,"Census Tract 6911, Cook County, Illinois",12733.0,3841.0,4749.0,1705.0,1410.0,17,31,30149.0,2015-2019
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",3130.0,894.0,1793.0,982.0,807.0,17,31,9089.0,2015-2019
HERMOSA,"Census Tract 2001, Cook County, Illinois",7724.0,3220.0,5353.0,1351.0,1196.0,17,31,23481.0,2015-2019
HUMBOLDT PARK,"Census Tract 2307, Cook County, Illinois",20350.0,6957.0,10864.0,2731.0,2215.0,17,31,55364.0,2015-2019
HYDE PARK,"Census Tract 4108, Cook County, Illinois",7931.0,1381.0,2629.0,1808.0,3092.0,17,31,18624.0,2015-2019
IRVING PARK,"Census Tract 1609, Cook County, Illinois",13047.0,6274.0,10836.0,6231.0,7892.0,17,31,53530.0,2015-2019
JEFFERSON PARK,"Census Tract 1101, Cook County, Illinois",7089.0,2844.0,4980.0,3732.0,4051.0,17,31,27503.0,2015-2019
KENWOOD,"Census Tract 3904, Cook County, Illinois",3918.0,1126.0,1702.0,1003.0,2338.0,17,31,12582.0,2015-2019
LAKE VIEW,"Census Tract 8319, Cook County, Illinois",12577.0,5317.0,15750.0,16736.0,29250.0,17,31,89861.0,2015-2019
LINCOLN PARK,"Census Tract 8325, Cook County, Illinois",14365.0,3100.0,7827.0,10963.0,24612.0,17,31,69465.0,2015-2019
LINCOLN SQUARE,"Census Tract 8308, Cook County, Illinois",8272.0,4599.0,8165.0,5822.0,8737.0,17,31,42103.0,2015-2019
LOGAN SQUARE,"Census Tract 8309, Cook County, Illinois",15488.0,7569.0,13742.0,10310.0,15121.0,17,31,73277.0,2015-2019
LOOP,"Census Tract 8390, Cook County, Illinois",10208.0,1811.0,4954.0,5237.0,14356.0,17,31,38655.0,2015-2019
LOWER WEST SIDE,"Census Tract 3104, Cook County, Illinois",10636.0,4165.0,7011.0,3034.0,2946.0,17,31,33203.0,2015-2019
MCKINLEY PARK,"Census Tract 5906, Cook County, Illinois",5264.0,2080.0,2672.0,1322.0,965.0,17,31,15177.0,2015-2019
MONTCLARE,"Census Tract 8316, Cook County, Illinois",4459.0,2137.0,2838.0,1088.0,1167.0,17,31,14267.0,2015-2019
MORGAN PARK,"Census Tract 7502, Cook County, Illinois",6194.0,2055.0,4009.0,2175.0,2882.0,17,31,21050.0,2015-2019
