Community Area,NAME,0-25k,25-60k,60-100k,100-150k,150-200k,200k+,state,county,population,period
FOREST GLEN,"Census Tract 1201, Cook County, Illinois",0.05329461502327369,0.08775675791091941,0.08331553999231328,0.07067515053166502,0.03736601614211897,0.039458513046077635,17,31,23417.0,2005-2009
FULLER PARK,"Census Tract 3701, Cook County, Illinois",0.18721736508893577,0.138076575218571,0.03105215556225505,0.0027132951462164605,0.0,0.0,17,31,3317.0,2005-2009
GAGE PARK,"Census Tract 6301, Cook County, Illinois",0.060853905605162455,0.10967709662089492,0.04762262074485381,0.01575748480528251,0.00220104549661089,0.0011505465095920562,17,31,39981.0,2005-2009
GARFIELD RIDGE,"Census Tract 8208, Cook County, Illinois",0.07087641803031824,0.10995381989760064,0.09534685272562995,0.04976909948800321,0.011796004417227186,0.005923100090352375,17,31,39844.0,2005-2009
GRAND BOULEVARD,"Census Tract 3801, Cook County, Illinois",0.20898195343711254,0.10396289663406347,0.06722689075630252,0.02778160444505671,0.012719842035174726,0.009505441520870643,17,31,21777.0,2005-2009
GREATER GRAND CROSSING,"Census Tract 6901, Cook County, Illinois",0.1718937675163486,0.13185639930601895,0.05386360603229681,0.020445749366075003,0.002562391565461097,0.0014413452555718672,17,31,37465.0,2005-2009
HEGEWISCH,"Census Tract 5501, Cook County, Illinois",0.08869485294117647,0.12371323529411765,0.07205882352941176,0.06194852941176471,0.01369485294117647,0.004044117647058824,17,31,10880.0,2005-2009
HERMOSA,"Census Tract 2001, Cook County, Illinois",0.06577129700690713,0.12321565617805065,0.06623177283192633,0.023023791250959325,0.003607060629316961,0.0013046815042210285,17,31,26060.0,2005-2009
HUMBOLDT PARK,"Census Tract 2301, Cook County, Illinois",0.14147464639994461,0.09791735193809185,0.04373041566400637,0.014628741581981545,0.004622336097501861,0.002302511988643249,17,31,57763.0,2005-2009
HYDE PARK,"Census Tract 4101, Cook County, Illinois",0.1499420373858861,0.1366106361396899,0.08683524126938125,0.04390668019127663,0.03321982321402695,0.03340095638313288,17,31,27604.0,2005-2009
IRVING PARK,"Census Tract 1608, Cook County, Illinois",0.06866974833076528,0.12626262626262627,0.09332306111967129,0.04055812360897107,0.013935969868173258,0.013011470638589283,17,31,58410.0,2005-2009
