Community Area,NAME,no_hs,hs,some_college,state,county,bachelors,graduate,population,period
AVONDALE,"Census Tract 2101, Cook County, Illinois",0.17202239435539535,0.1949024720709666,0.12189073804228341,17,31,0.10501827849783982,0.06388526727509779,39117.0,2010-2014
BELMONT CRAGIN,"Census Tract 1908, Cook County, Illinois",0.23165842492000657,0.17836320176048767,0.12177971139131645,17,31,0.04613691838773729,0.018932830818652064,79069.0,2010-2014
BEVERLY,"Census Tract 7203, Cook County, Illinois",0.018188743929149605,0.09194362441672221,0.19036282258832493,17,31,0.19121988382058852,0.18431577944957622,21002.0,2010-2014
BRIDGEPORT,"Census Tract 8397, Cook County, Illinois",0.15892795641691976,0.2047027145496102,0.15310435517705626,17,31,0.10576411284010144,0.06418485237483953,31939.0,2010-2014
BRIGHTON PARK,"Census Tract 5802, Cook County, Illinois",0.2609562655789712,0.17475640154090188,0.09197824609109449,17,31,0.031021980512123272,0.012009970541581691,44130.0,2010-2014
BURNSIDE,"Census Tract 4701, Cook County, Illinois",0.14782276546982429,0.21619556913674562,0.24980901451489687,17,31,0.029029793735676088,0.033995416348357524,2618.0,2010-2014
CALUMET HEIGHTS,"Census Tract 4805, Cook County, Illinois",0.07895522388059702,0.16955223880597015,0.29134328358208955,17,31,0.11097014925373135,0.09850746268656717,13400.0,2010-2014
CHATHAM,"Census Tract 4408, Cook County, Illinois",0.09008351062140793,0.18696218207220652,0.23748134506080718,17,31,0.11148509192518972,0.06347442288762582,31493.0,2010-2014
CHICAGO LAWN,"Census Tract 6606, Cook County, Illinois",0.17106922707974348,0.1943403265059599,0.14801129802995044,17,31,0.03750022205247544,0.013216563338248095,56293.0,2010-2014
CLEARING,"Census Tract 6405, Cook County, Illinois",0.11172910191395387,0.2557255030263373,0.1940127596924587,17,31,0.08580075249468345,0.03157205954523147,24452.0,2010-2014
DOUGLAS,"Census Tract 3510, Cook County, Illinois",0.09562532166752445,0.1305198147195059,0.18255275347400926,17,31,0.13093154915079774,0.11945445187853834,19430.0,2010-2014
DUNNING,"Census Tract 1701, Cook County, Illinois",0.10422037953220449,0.24455903189092515,0.20792976099226534,17,31,0.11274475646296425,0.05219148491394328,43053.0,2010-2014
EAST GARFIELD PARK,"Census Tract 8368, Cook County, Illinois",0.12115830496768783,0.19925016032756154,0.1804548369592028,17,31,0.05007153075822604,0.0266390409945242,20271.0,2010-2014
EAST SIDE,"Census Tract 5203, Cook County, Illinois",0.17696617380681579,0.21529971776401702,0.12287796453094064,17,31,0.0511394751253212,0.022958001600741396,23739.0,2010-2014
EDGEWATER,"Census Tract 301.02, Cook County, Illinois",0.06936536068479203,0.10269995097854369,0.18015385195520192,17,31,0.24054451525321469,0.18071948414344433,53038.0,2010-2014
EDISON PARK,"Census Tract 901, Cook County, Illinois",0.05858273446738834,0.15691803875193305,0.2220503957063586,17,31,0.20231056126626035,0.1133448558173383,10993.0,2010-2014
ENGLEWOOD,"Census Tract 6812, Cook County, Illinois",0.1673077627578122,0.19859325200571493,0.1863208411180716,17,31,0.0271824742645712,0.008206029966663003,27297.0,2010-2014
FOREST GLEN,"Census Tract 1204, Cook County, Illinois",0.03284987552765451,0.12241584587076523,0.13426777789804092,17,31,0.2347115488689252,0.16479056174910706,18478.0,2010-2014
