community_area,NAME,0-17,18-24,25-34,35-44,45-54,55-64,65-74,75+,state,county,population,period
WASHINGTON PARK,"Census Tract 8361, Cook County, Illinois",4166.0,1181.0,1643.0,1349.0,1180.0,1012.0,503.0,412.0,17,31,11647.0,2010-2014
WEST ELSDON,"Census Tract 6201, Cook County, Illinois",5186.0,2376.0,2761.0,2957.0,1991.0,1671.0,1176.0,765.0,17,31,19165.0,2010-2014
WEST ENGLEWOOD,"Census Tract 6701, Cook County, Illinois",8730.0,3923.0,4607.0,3919.0,4554.0,3414.0,2794.0,1811.0,17,31,34272.0,2010-2014
WEST GARFIELD PARK,"Census Tract 2606, Cook County, Illinois",5907.0,2192.0,2486.0,2235.0,2423.0,1584.0,933.0,766.0,17,31,18885.0,2010-2014
WEST LAWN,"Census Tract 6503.01, Cook County, Illinois",9796.0,3552.0,5541.0,4920.0,3809.0,2899.0,1394.0,1273.0,17,31,33477.0,2010-2014
WEST PULLMAN,"Census Tract 5305.01, Cook County, Illinois",7141.0,3183.0,3271.0,3390.0,3306.0,3606.0,2358.0,1627.0,17,31,28160.0,2010-2014
WEST RIDGE,"Census Tract 202, Cook County, Illinois",17687.0,6006.0,10912.0,10572.0,8668.0,8882.0,5301.0,3930.0,17,31,73019.0,2010-2014
WEST TOWN,"Census Tract 2407, Cook County, Illinois",12122.0,7725.0,29818.0,14761.0,8114.0,5294.0,2720.0,2284.0,17,31,84319.0,2010-2014
WOODLAWN,"Census Tract 8439, Cook County, Illinois",6506.0,3569.0,3391.0,3393.0,2791.0,2854.0,1722.0,1013.0,17,31,25451.0,2010-2014
ALBANY PARK,"Census Tract 1401, Cook County, Illinois",10541.0,4935.0,9213.0,8428.0,6072.0,4956.0,2762.0,2280.0,17,31,49806.0,2015-2019
ARCHER HEIGHTS,"Census Tract 5701, Cook County, Illinois",3796.0,1251.0,2081.0,1936.0,1492.0,1097.0,1047.0,699.0,17,31,13726.0,2015-2019
ARMOUR SQUARE,"Census Tract 3406, Cook County, Illinois",2084.0,965.0,1918.0,1482.0,1995.0,1541.0,1784.0,1588.0,17,31,13538.0,2015-2019
ASHBURN,"Census Tract 7002, Cook County, Illinois",10698.0,4531.0,5043.0,5797.0,5977.0,5570.0,3049.0,2042.0,17,31,43356.0,2015-2019
AUBURN GRESHAM,"Census Tract 7101, Cook County, Illinois",9985.0,4215.0,5490.0,5176.0,5960.0,6356.0,4252.0,3974.0,17,31,45909.0,2015-2019
AUSTIN,"Census Tract 8313, Cook County, Illinois",21673.0,8988.0,13634.0,11712.0,11824.0,11452.0,8141.0,5225.0,17,31,93727.0,2015-2019
AVALON PARK,"Census Tract 8343, Cook County, Illinois",1441.0,983.0,1023.0,1118.0,1261.0,1466.0,902.0,1244.0,17,31,9713.0,2015-2019
AVONDALE,"Census Tract 8311, Cook County, Illinois",7556.0,3459.0,9797.0,5961.0,4221.0,3124.0,2320.0,1364.0,17,31,38118.0,2015-2019
BELMONT CRAGIN,"Census Tract 1910, Cook County, Illinois",20178.0,7485.0,10923.0,12347.0,9862.0,9433.0,4834.0,2738.0,17,31,78601.0,2015-2019
BEVERLY,"Census Tract 7201, Cook County, Illinois",4344.0,1168.0,1737.0,2610.0,3015.0,3309.0,2261.0,1208.0,17,31,19791.0,2015-2019
