NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,state,county,tract
"Census Tract 512, Cook County, Illinois",1352.0,115.0,7.0,36.0,0.0,0.0,52.0,17,031,051200
"Census Tract 618, Cook County, Illinois",955.0,33.0,0.0,106.0,4.0,20.0,12.0,17,031,061800
"Census Tract 623, Cook County, Illinois",1573.0,6.0,0.0,83.0,0.0,6.0,48.0,17,031,062300
"Census Tract 704, Cook County, Illinois",3161.0,132.0,0.0,87.0,0.0,32.0,28.0,17,031,070400
"Census Tract 706, Cook County, Illinois",2949.0,39.0,0.0,64.0,0.0,0.0,31.0,17,031,070600
"Census Tract 713, Cook County, Illinois",3027.0,109.0,0.0,235.0,15.0,0.0,28.0,17,031,071300
"Census Tract 803, Cook County, Illinois",3634.0,349.0,0.0,386.0,0.0,49.0,62.0,17,031,080300
"Census Tract 816, Cook County, Illinois",2484.0,38.0,0.0,491.0,0.0,23.0,141.0,17,031,081600
"Census Tract 818, Cook County, Illinois",6318.0,179.0,49.0,630.0,0.0,61.0,251.0,17,031,081800
"Census Tract 819, Cook County, Illinois",482.0,429.0,6.0,160.0,0.0,10.0,65.0,17,031,081900
"Census Tract 8190, Cook County, Illinois",4315.0,45.0,0.0,0.0,0.0,181.0,54.0,17,031,819000
"Census Tract 8193, Cook County, Illinois",2656.0,138.0,0.0,36.0,0.0,44.0,154.0,17,031,819300
"Census Tract 8204, Cook County, Illinois",4153.0,879.0,29.0,27.0,0.0,1002.0,74.0,17,031,820400
"Census Tract 8208, Cook County, Illinois",2990.0,171.0,0.0,64.0,0.0,938.0,60.0,17,031,820800
"Census Tract 1701, Cook County, Illinois",1685.0,65.0,0.0,104.0,0.0,17.0,0.0,17,031,170100
"Census Tract 1707, Cook County, Illinois",2446.0,8.0,0.0,204.0,0.0,123.0,50.0,17,031,170700
"Census Tract 1901, Cook County, Illinois",1186.0,82.0,0.0,269.0,0.0,1070.0,113.0,17,031,190100
"Census Tract 2205, Cook County, Illinois",2331.0,174.0,0.0,71.0,0.0,59.0,47.0,17,031,220500
"Census Tract 2227, Cook County, Illinois",2230.0,248.0,13.0,8.0,0.0,139.0,22.0,17,031,222700
"Census Tract 2312, Cook County, Illinois",389.0,3217.0,0.0,0.0,0.0,1457.0,39.0,17,031,231200
"Census Tract 2315, Cook County, Illinois",189.0,6366.0,0.0,0.0,0.0,356.0,54.0,17,031,231500
"Census Tract 2405, Cook County, Illinois",1854.0,24.0,0.0,122.0,0.0,70.0,84.0,17,031,240500
"Census Tract 2409, Cook County, Illinois",713.0,124.0,14.0,86.0,0.0,192.0,107.0,17,031,240900
"Census Tract 2422, Cook County, Illinois",3311.0,211.0,29.0,111.0,0.0,145.0,68.0,17,031,242200
"Census Tract 2435, Cook County, Illinois",2426.0,392.0,0.0,264.0,0.0,18.0,98.0,17,031,243500
"Census Tract 2505, Cook County, Illinois",3992.0,2619.0,0.0,214.0,0.0,626.0,212.0,17,031,250500
"Census Tract 2510, Cook County, Illinois",149.0,1119.0,0.0,0.0,0.0,16.0,0.0,17,031,251000
"Census Tract 1909, Cook County, Illinois",628.0,79.0,0.0,10.0,0.0,1141.0,6.0,17,031,190900
"Census Tract 8036.08, Cook County, Illinois",5566.0,508.0,0.0,1373.0,0.0,216.0,110.0,17,031,803608
"Census Tract 8048.03, Cook County, Illinois",4488.0,225.0,0.0,1026.0,0.0,0.0,66.0,17,031,804803
"Census Tract 8051.06, Cook County, Illinois",2406.0,108.0,0.0,116.0,0.0,0.0,38.0,17,031,805106
"Census Tract 8051.09, Cook County, Illinois",3896.0,42.0,0.0,376.0,0.0,0.0,8.0,17,031,805109
"Census Tract 8050.02, Cook County, Illinois",4313.0,314.0,16.0,1254.0,0.0,674.0,76.0,17,031,805002
"Census Tract 8048.08, Cook County, Illinois",2361.0,9.0,8.0,163.0,0.0,0.0,14.0,17,031,804808
"Census Tract 8049.02, Cook County, Illinois",4326.0,1.0,14.0,804.0,0.0,462.0,146.0,17,031,804902
"Census Tract 8051.12, Cook County, Illinois",1940.0,10.0,0.0,775.0,0.0,111.0,111.0,17,031,805112
"Census Tract 8055.02, Cook County, Illinois",3891.0,13.0,0.0,25.0,0.0,13.0,5.0,17,031,805502
"Census Tract 8058.01, Cook County, Illinois",2106.0,32.0,0.0,177.0,0.0,0.0,70.0,17,031,805801
"Census Tract 8067, Cook County, Illinois",3191.0,229.0,17.0,491.0,0.0,127.0,162.0,17,031,806700
"Census Tract 8078, Cook County, Illinois",2073.0,17.0,0.0,587.0,0.0,45.0,33.0,17,031,807800
"Census Tract 8090, Cook County, Illinois",3787.0,132.0,0.0,130.0,0.0,61.0,54.0,17,031,809000
"Census Tract 8091, Cook County, Illinois",2903.0,173.0,0.0,193.0,0.0,0.0,76.0,17,031,809100
"Census Tract 8103.02, Cook County, Illinois",2132.0,723.0,0.0,126.0,0.0,58.0,221.0,17,031,810302
"Census Tract 8105.02, Cook County, Illinois",4589.0,22.0,0.0,342.0,0.0,55.0,56.0,17,031,810502
"Census Tract 8107.01, Cook County, Illinois",4087.0,20.0,0.0,42.0,0.0,772.0,125.0,17,031,810701
"Census Tract 8108, Cook County, Illinois",4477.0,92.0,0.0,288.0,0.0,430.0,228.0,17,031,810800
"Census Tract 8114.02, Cook County, Illinois",3250.0,10.0,0.0,352.0,0.0,746.0,81.0,17,031,811402
"Census Tract 8115, Cook County, Illinois",4707.0,45.0,0.0,67.0,0.0,1039.0,125.0,17,031,811500
"Census Tract 8119, Cook County, Illinois",4946.0,473.0,13.0,303.0,0.0,37.0,163.0,17,031,811900
"Census Tract 1910, Cook County, Illinois",1252.0,108.0,0.0,0.0,0.0,1414.0,127.0,17,031,191000
"Census Tract 8056, Cook County, Illinois",4578.0,26.0,0.0,59.0,0.0,5.0,11.0,17,031,805600
"Census Tract 8060.04, Cook County, Illinois",5457.0,267.0,0.0,1500.0,0.0,206.0,241.0,17,031,806004
"Census Tract 8072, Cook County, Illinois",3448.0,534.0,0.0,1487.0,0.0,208.0,159.0,17,031,807200
"Census Tract 8075, Cook County, Illinois",2076.0,152.0,0.0,974.0,0.0,149.0,86.0,17,031,807500
"Census Tract 8173, Cook County, Illinois",315.0,1718.0,0.0,19.0,0.0,278.0,47.0,17,031,817300
"Census Tract 8191, Cook County, Illinois",3523.0,195.0,0.0,102.0,0.0,319.0,219.0,17,031,819100
"Census Tract 8196, Cook County, Illinois",3517.0,224.0,0.0,20.0,0.0,39.0,49.0,17,031,819600
"Census Tract 8278.04, Cook County, Illinois",506.0,2531.0,0.0,32.0,0.0,0.0,20.0,17,031,827804
