NAME,B03001_002E,B03001_003E,state,county,tract
"Census Tract 8380, Cook County, Illinois",2649.0,212.0,17,031,838000
"Census Tract 8381, Cook County, Illinois",1738.0,99.0,17,031,838100
"Census Tract 8387, Cook County, Illinois",4589.0,302.0,17,031,838700
"Census Tract 8388, Cook County, Illinois",1844.0,1388.0,17,031,838800
"Census Tract 8390, Cook County, Illinois",7572.0,296.0,17,031,839000
"Census Tract 8391, Cook County, Illinois",4814.0,452.0,17,031,839100
"Census Tract 8392, Cook County, Illinois",2133.0,58.0,17,031,839200
"Census Tract 8395, Cook County, Illinois",1341.0,38.0,17,031,839500
"Census Tract 8396, Cook County, Illinois",1821.0,10.0,17,031,839600
"Census Tract 8397, Cook County, Illinois",2371.0,2423.0,17,031,839700
"Census Tract 8398, Cook County, Illinois",1931.0,722.0,17,031,839800
"Census Tract 8399, Cook County, Illinois",2949.0,858.0,17,031,839900
"Census Tract 8400, Cook County, Illinois",2255.0,395.0,17,031,840000
"Census Tract 8401, Cook County, Illinois",2038.0,308.0,17,031,840100
"Census Tract 8402, Cook County, Illinois",1894.0,695.0,17,031,840200
"Census Tract 8403, Cook County, Illinois",1599.0,2548.0,17,031,840300
"Census Tract 8404, Cook County, Illinois",1976.0,1296.0,17,031,840400
"Census Tract 8407, Cook County, Illinois",423.0,3647.0,17,031,840700
"Census Tract 8408, Cook County, Illinois",84.0,3335.0,17,031,840800
"Census Tract 8410, Cook County, Illinois",683.0,0.0,17,031,841000
"Census Tract 1302, Cook County, Illinois",1290.0,308.0,17,031,130200
"Census Tract 2003, Cook County, Illinois",180.0,2221.0,17,031,200300
"Census Tract 1101, Cook County, Illinois",4707.0,1216.0,17,031,110100
"Census Tract 1102, Cook County, Illinois",2673.0,344.0,17,031,110200
"Census Tract 8030.05, Cook County, Illinois",2721.0,23.0,17,031,803005
"Census Tract 8033, Cook County, Illinois",5456.0,273.0,17,031,803300
"Census Tract 8036.05, Cook County, Illinois",6205.0,1257.0,17,031,803605
"Census Tract 2718, Cook County, Illinois",1230.0,0.0,17,031,271800
"Census Tract 2808, Cook County, Illinois",822.0,28.0,17,031,280800
"Census Tract 2809, Cook County, Illinois",738.0,52.0,17,031,280900
"Census Tract 2819, Cook County, Illinois",4398.0,422.0,17,031,281900
"Census Tract 2912, Cook County, Illinois",2368.0,0.0,17,031,291200
"Census Tract 8039.02, Cook County, Illinois",3152.0,558.0,17,031,803902
