NAME,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract
"Census Tract 705, Cook County, Illinois",81.0,67.0,15.0,64.0,0.0,106.0,20.0,78.0,19.0,33.0,92.0,65.0,65.0,46.0,144.0,414.0,17,031,070500
"Census Tract 716, Cook County, Illinois",60.0,20.0,10.0,41.0,20.0,27.0,9.0,0.0,16.0,13.0,28.0,74.0,52.0,37.0,39.0,268.0,17,031,071600
"Census Tract 718, Cook County, Illinois",59.0,50.0,0.0,8.0,10.0,51.0,37.0,9.0,12.0,14.0,94.0,75.0,97.0,121.0,143.0,343.0,17,031,071800
"Census Tract 801, Cook County, Illinois",208.0,52.0,64.0,94.0,40.0,133.0,85.0,103.0,129.0,322.0,326.0,603.0,500.0,132.0,315.0,960.0,17,031,080100
"Census Tract 804, Cook County, Illinois",868.0,50.0,58.0,45.0,79.0,30.0,0.0,20.0,19.0,56.0,42.0,60.0,16.0,95.0,338.0,270.0,17,031,080400
"Census Tract 813, Cook County, Illinois",155.0,86.0,73.0,34.0,104.0,109.0,105.0,70.0,62.0,122.0,257.0,404.0,304.0,267.0,295.0,772.0,17,031,081300
"Census Tract 3204, Cook County, Illinois",39.0,14.0,8.0,4.0,10.0,13.0,13.0,5.0,17.0,14.0,18.0,51.0,36.0,18.0,58.0,193.0,17,031,320400
"Census Tract 205, Cook County, Illinois",345.0,132.0,71.0,219.0,84.0,119.0,201.0,234.0,105.0,159.0,130.0,143.0,77.0,46.0,30.0,0.0,17,031,020500
"Census Tract 318, Cook County, Illinois",103.0,47.0,68.0,95.0,25.0,21.0,25.0,44.0,56.0,44.0,60.0,100.0,59.0,30.0,128.0,29.0,17,031,031800
"Census Tract 321, Cook County, Illinois",563.0,520.0,166.0,205.0,76.0,176.0,107.0,239.0,10.0,346.0,296.0,511.0,345.0,161.0,161.0,231.0,17,031,032100
"Census Tract 401, Cook County, Illinois",95.0,43.0,120.0,97.0,65.0,88.0,54.0,63.0,32.0,115.0,164.0,220.0,115.0,37.0,132.0,143.0,17,031,040100
