NAME,B03001_002E,B03001_003E,state,county,tract
"Census Tract 5206, Cook County, Illinois",614.0,2238.0,17,031,520600
"Census Tract 5603, Cook County, Illinois",1014.0,2294.0,17,031,560300
"Census Tract 5608, Cook County, Illinois",3062.0,2796.0,17,031,560800
"Census Tract 5802, Cook County, Illinois",663.0,2625.0,17,031,580200
"Census Tract 8381, Cook County, Illinois",1415.0,199.0,17,031,838100
"Census Tract 8387, Cook County, Illinois",3721.0,213.0,17,031,838700
"Census Tract 8388, Cook County, Illinois",1913.0,1387.0,17,031,838800
"Census Tract 8390, Cook County, Illinois",8322.0,887.0,17,031,839000
"Census Tract 8391, Cook County, Illinois",6889.0,656.0,17,031,839100
"Census Tract 8392, Cook County, Illinois",2307.0,98.0,17,031,839200
"Census Tract 8395, Cook County, Illinois",1408.0,53.0,17,031,839500
"Census Tract 8396, Cook County, Illinois",1531.0,122.0,17,031,839600
"Census Tract 8397, Cook County, Illinois",3289.0,1624.0,17,031,839700
