NAME,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,state,county,tract
"Census Tract 8206.05, Cook County, Illinois",371.0,873.0,1249.0,202.0,235.0,17,031,820605
"Census Tract 8206.06, Cook County, Illinois",293.0,837.0,827.0,669.0,189.0,17,031,820606
"Census Tract 8238.05, Cook County, Illinois",107.0,800.0,801.0,465.0,163.0,17,031,823805
"Census Tract 8238.06, Cook County, Illinois",204.0,1257.0,844.0,340.0,165.0,17,031,823806
"Census Tract 8240.03, Cook County, Illinois",151.0,1301.0,1132.0,1160.0,695.0,17,031,824003
"Census Tract 8240.04, Cook County, Illinois",236.0,1243.0,1168.0,898.0,534.0,17,031,824004
"Census Tract 8326, Cook County, Illinois",34.0,27.0,193.0,1541.0,1121.0,17,031,832600
"Census Tract 203.02, Cook County, Illinois",211.0,820.0,653.0,1058.0,796.0,17,031,020302
"Census Tract 206.02, Cook County, Illinois",442.0,565.0,546.0,765.0,507.0,17,031,020602
"Census Tract 207.01, Cook County, Illinois",106.0,276.0,265.0,415.0,286.0,17,031,020701
"Census Tract 203.01, Cook County, Illinois",333.0,520.0,599.0,1389.0,625.0,17,031,020301
"Census Tract 206.01, Cook County, Illinois",488.0,1020.0,570.0,1037.0,622.0,17,031,020601
"Census Tract 207.02, Cook County, Illinois",1198.0,1300.0,1218.0,1064.0,342.0,17,031,020702
"Census Tract 208.01, Cook County, Illinois",1144.0,831.0,1147.0,870.0,490.0,17,031,020801
"Census Tract 208.02, Cook County, Illinois",1430.0,1292.0,1190.0,952.0,381.0,17,031,020802
"Census Tract 209.01, Cook County, Illinois",831.0,783.0,921.0,884.0,568.0,17,031,020901
"Census Tract 209.02, Cook County, Illinois",833.0,947.0,892.0,595.0,228.0,17,031,020902
"Census Tract 8154, Cook County, Illinois",430.0,765.0,853.0,542.0,522.0,17,031,815400
"Census Tract 8166, Cook County, Illinois",1264.0,863.0,515.0,87.0,67.0,17,031,816600
"Census Tract 8171.01, Cook County, Illinois",259.0,1212.0,1240.0,391.0,171.0,17,031,817101
"Census Tract 8172, Cook County, Illinois",450.0,897.0,1085.0,262.0,211.0,17,031,817200
"Census Tract 8174, Cook County, Illinois",808.0,772.0,584.0,242.0,190.0,17,031,817400
"Census Tract 8199, Cook County, Illinois",17.0,194.0,275.0,911.0,688.0,17,031,819900
"Census Tract 8205.01, Cook County, Illinois",494.0,1370.0,1161.0,717.0,246.0,17,031,820501
"Census Tract 8224, Cook County, Illinois",516.0,1373.0,1321.0,355.0,302.0,17,031,822400
"Census Tract 8228.02, Cook County, Illinois",187.0,529.0,621.0,677.0,379.0,17,031,822802
"Census Tract 8233.03, Cook County, Illinois",299.0,979.0,1097.0,431.0,225.0,17,031,823303
"Census Tract 8236.04, Cook County, Illinois",152.0,655.0,654.0,755.0,431.0,17,031,823604
"Census Tract 4205, Cook County, Illinois",125.0,389.0,459.0,176.0,52.0,17,031,420500
"Census Tract 4304, Cook County, Illinois",192.0,547.0,850.0,107.0,126.0,17,031,430400
"Census Tract 4306, Cook County, Illinois",96.0,303.0,675.0,175.0,156.0,17,031,430600
"Census Tract 4409, Cook County, Illinois",260.0,558.0,430.0,295.0,175.0,17,031,440900
"Census Tract 4601, Cook County, Illinois",295.0,759.0,591.0,379.0,127.0,17,031,460100
"Census Tract 4805, Cook County, Illinois",263.0,755.0,587.0,280.0,113.0,17,031,480500
"Census Tract 2831, Cook County, Illinois",78.0,224.0,294.0,498.0,764.0,17,031,283100
"Census Tract 3007, Cook County, Illinois",1599.0,606.0,286.0,250.0,124.0,17,031,300700
"Census Tract 3008, Cook County, Illinois",1190.0,689.0,239.0,85.0,7.0,17,031,300800
"Census Tract 3406, Cook County, Illinois",193.0,155.0,117.0,17.0,22.0,17,031,340600
"Census Tract 3403, Cook County, Illinois",570.0,314.0,219.0,156.0,180.0,17,031,340300
"Census Tract 3510, Cook County, Illinois",75.0,362.0,665.0,915.0,619.0,17,031,351000
"Census Tract 8143, Cook County, Illinois",1175.0,812.0,525.0,165.0,41.0,17,031,814300
"Census Tract 8159, Cook County, Illinois",197.0,723.0,1095.0,1052.0,1008.0,17,031,815900
"Census Tract 8087.02, Cook County, Illinois",0.0,44.0,72.0,254.0,274.0,17,031,808702
"Census Tract 6606, Cook County, Illinois",950.0,1588.0,818.0,193.0,12.0,17,031,660600
"Census Tract 6701, Cook County, Illinois",228.0,247.0,191.0,64.0,10.0,17,031,670100
"Census Tract 6708, Cook County, Illinois",257.0,380.0,98.0,24.0,61.0,17,031,670800
"Census Tract 6711, Cook County, Illinois",87.0,270.0,86.0,37.0,6.0,17,031,671100
"Census Tract 6712, Cook County, Illinois",145.0,281.0,112.0,33.0,5.0,17,031,671200
"Census Tract 6714, Cook County, Illinois",212.0,426.0,218.0,26.0,8.0,17,031,671400
"Census Tract 4909.01, Cook County, Illinois",431.0,663.0,993.0,128.0,73.0,17,031,490901
"Census Tract 4909.02, Cook County, Illinois",398.0,595.0,1195.0,519.0,233.0,17,031,490902
"Census Tract 5305.02, Cook County, Illinois",113.0,212.0,538.0,53.0,117.0,17,031,530502
"Census Tract 2225, Cook County, Illinois",126.0,253.0,202.0,384.0,223.0,17,031,222500
"Census Tract 2228, Cook County, Illinois",87.0,208.0,76.0,181.0,84.0,17,031,222800
"Census Tract 8072, Cook County, Illinois",472.0,713.0,858.0,1088.0,796.0,17,031,807200
"Census Tract 8075, Cook County, Illinois",235.0,311.0,499.0,855.0,496.0,17,031,807500
"Census Tract 7502, Cook County, Illinois",13.0,235.0,669.0,521.0,658.0,17,031,750200
"Census Tract 8043.08, Cook County, Illinois",731.0,1658.0,1199.0,1082.0,358.0,17,031,804308
"Census Tract 8043.09, Cook County, Illinois",268.0,665.0,667.0,309.0,96.0,17,031,804309
"Census Tract 8043.10, Cook County, Illinois",510.0,1706.0,1835.0,1681.0,804.0,17,031,804310
"Census Tract 301.02, Cook County, Illinois",106.0,221.0,761.0,869.0,500.0,17,031,030102
"Census Tract 7608.02, Cook County, Illinois",233.0,587.0,632.0,517.0,184.0,17,031,760802
